customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0019-5053,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,74.27,843.61,No
0020-5502,Female,0,No,Yes,71,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.95,4027.75,No
0021-4336,Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),29.9,574.94,No
0022-2642,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,86.6,2346.25,Yes
0023-9339,Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.75,2403.36,No
0024-8033,Female,1,No,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),70.71,297.77,No
0025-6794,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),84.62,2490.49,No
0026-4621,Male,0,No,Yes,40,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,72.34,2877.23,No
0027-8404,Female,0,Yes,Yes,17,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),82.07,1257.0,No
0028-5908,Male,0,Yes,No,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,811.27,No
0029-4990,Male,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),109.35,4188.66,Yes
0030-5053,Female,0,No,Yes,19,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,86.57,1666.66,Yes
0031-3044,Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,84.98,1278.83,No
0032-1829,Male,0,No,No,20,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,68.33,1416.94,No
0033-5990,Male,0,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.18,2028.31,No
0034-8990,Female,1,Yes,Yes,38,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,73.57,2868.35,Yes
0035-1574,Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),65.83,3897.49,No
0036-8723,Female,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,92.1,4875.75,No
0037-8447,Female,0,No,Yes,58,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),71.15,4103.35,No
0038-3490,Male,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),95.07,5999.24,No
0039-6684,Male,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.24,1393.87,No
0040-2486,Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.19,828.58,No
0041-7822,Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.16,1456.59,No
0042-7304,Male,0,No,No,68,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),89.0,6160.41,No
0043-4190,Female,0,Yes,Yes,23,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),83.55,1727.89,No
0044-1611,Female,0,No,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,479.15,No
0045-9735,Female,0,No,Yes,64,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,40.56,2475.15,No
0046-5010,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.02,1342.66,No
0047-9037,Male,0,No,Yes,10,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,59.6,633.92,No
0048-7100,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.94,789.63,Yes
0049-8004,Female,0,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,79.74,1338.38,No
0050-7838,Female,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,93.24,3284.52,No
0051-2751,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.58,1733.8,No
0052-4274,Male,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),44.88,2795.56,No
0053-5200,Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.17,6222.0,No
0054-5479,Female,0,No,Yes,54,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,66.96,3508.96,No
0055-1394,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.53,1109.06,No
0056-5918,Male,0,No,No,48,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.72,3132.12,No
0057-2388,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,60.58,2065.71,No
0058-7689,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),54.47,200.8,No
0059-7146,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.27,273.0,No
0060-9301,Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.45,1165.17,No
0061-7702,Female,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.53,1588.98,No
0062-4299,Female,0,No,No,18,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),62.3,1166.6,No
0063-9706,Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,71.45,46.28,Yes
0064-4697,Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.33,315.67,Yes
0065-3932,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),92.88,1969.74,No
0066-9148,Female,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,31.44,2083.24,No
0067-4333,Female,1,Yes,Yes,30,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,62.81,1914.62,No
0068-1687,Male,0,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,75.85,5359.34,No
0069-5225,Male,0,No,No,65,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,63.24,4179.69,No
0070-8160,Female,0,No,No,62,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,94.9,5937.73,No
0071-2705,Male,0,No,Yes,70,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),61.2,4288.33,No
0072-5166,Male,1,No,Yes,17,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),69.63,1246.3,No
0073-2169,Male,0,No,No,71,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),57.49,3988.21,No
0074-7177,Male,0,No,No,67,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,59.09,4157.52,No
0075-5280,Female,0,No,No,58,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),87.26,4874.88,No
0076-3971,Male,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,88.62,1164.98,No
0077-3041,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.72,524.56,No
0078-6079,Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,108.14,5044.85,No
0079-7027,Male,1,Yes,No,3,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),100.08,279.82,No
0080-9461,Male,1,No,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.33,2109.31,No
0081-4933,Female,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,72.06,2263.98,Yes
0082-2446,Male,1,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,82.02,53.41,No
0083-8493,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.07,738.88,No
0084-6667,Female,0,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),29.95,797.47,No
0085-7301,Female,1,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.8,2428.96,No
0086-1874,Male,0,No,No,43,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),49.54,2067.98,No
0087-3810,Female,0,No,Yes,27,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,53.65,1321.34,No
0088-7909,Male,0,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,99.92,4473.13,No
0089-8489,Male,0,No,No,65,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),73.7,4809.61,No
0090-4916,Male,0,No,No,25,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.64,1793.04,No
0091-8242,Female,0,No,Yes,27,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),86.24,2298.56,Yes
0092-8574,Female,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),92.56,636.47,Yes
0093-4486,Male,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,95.16,2512.1,No
0094-9081,Male,0,No,No,20,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,67.89,1218.98,No
0095-3594,Female,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),46.79,2509.44,No
0096-3155,Female,0,No,Yes,8,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,88.31,652.42,Yes
0097-7141,Female,0,Yes,No,43,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,74.16,3266.72,No
0098-6730,Male,0,No,Yes,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,102.34,5709.11,No
0099-2257,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,78.32,1394.13,Yes
0100-8493,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.8,401.9,Yes
0101-2798,Female,1,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.86,1619.71,No
0102-8243,Female,0,No,Yes,42,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),35.78,1552.97,No
0103-1066,Male,0,No,No,41,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,61.39,2612.26,No
0104-8170,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.19,1834.1,No
0105-8081,Female,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.29,421.94,Yes
0106-8022,Female,0,No,No,14,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,79.01,1111.57,Yes
0107-6982,Male,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,93.32,3130.82,No
0108-5243,Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),78.93,3327.2,No
0109-7345,Female,1,No,No,67,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,65.84,4399.33,No
0110-3493,Male,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.7,1280.04,No
0111-8025,Female,0,Yes,Yes,15,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,61.49,1030.63,No
0112-6000,Female,0,No,No,62,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,67.66,4257.13,No
0113-5129,Male,1,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,76.63,2393.68,No
0114-5549,Male,1,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,79.55,4931.92,No
0115-6118,Female,0,No,No,20,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.55,1463.24,No
0116-1335,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.9,1439.48,No
0117-2258,Female,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.13,3683.93,No
0118-3209,Male,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.71,1216.36,No
0119-2030,Male,0,Yes,Yes,71,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,51.38,3547.62,No
0120-4956,Male,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,81.97,855.68,No
0121-7014,Male,1,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.49,526.04,No
0122-6889,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),84.03,1073.89,No
0123-5239,Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.96,1847.11,No
0124-8694,Male,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,76.85,4720.53,No
0125-6086,Female,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.18,1809.16,No
0126-1712,Male,0,Yes,Yes,17,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),63.75,1177.05,No
0127-7884,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,112.59,2115.33,No
0128-6170,Male,0,Yes,No,29,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,67.96,1889.12,No
0129-6711,Male,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.67,1764.43,No
0130-6087,Female,0,No,No,54,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),52.9,2979.54,No
0131-5981,Female,0,No,No,72,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),66.47,4911.99,No
0132-1815,Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),99.5,5639.93,No
0133-6032,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.68,1834.13,No
0134-8153,Male,1,Yes,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,504.69,No
0135-3735,Female,1,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.6,1030.67,No
0136-6424,Female,0,No,No,38,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.12,2611.13,No
0137-1277,Female,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,171.03,No
0138-4127,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,79.97,5485.6,No
0139-4930,Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.99,631.59,Yes
0140-9843,Female,0,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,57.96,3621.42,No
0141-2931,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.48,540.9,No
0142-3488,Male,0,No,No,16,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),103.38,1541.75,Yes
0143-4676,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),29.62,1270.28,No
0144-9932,Female,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,104.83,3505.51,No
0145-8679,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,87.99,2453.22,No
0146-1312,Female,0,No,No,65,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.98,3288.21,No
0147-3105,Female,0,Yes,Yes,51,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.92,4086.65,No
0148-8394,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.99,1339.1,No
0149-1524,Male,0,Yes,No,57,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),83.24,4687.6,No
0150-8700,Male,0,No,No,58,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,51.59,3024.93,Yes
0151-3532,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.46,1050.89,No
0152-9257,Male,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.08,866.38,No
0153-3642,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,98.34,6497.13,Yes
0154-4908,Male,1,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,89.89,5451.47,No
0155-6956,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.58,162.99,No
0156-2136,Female,0,No,Yes,17,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,73.22,1251.86,No
0157-6012,Male,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,86.73,1661.6,No
0158-5544,Female,0,Yes,No,37,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,118.48,4520.11,No
0159-8054,Female,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),79.01,4765.73,Yes
0160-9963,Female,1,No,No,35,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),62.27,2289.48,No
0161-6978,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,52.94,687.54,No
0162-4682,Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.76,1209.98,No
0163-4657,Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.61,481.79,No
0164-4761,Female,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.96,1620.5,No
0165-8325,Female,0,Yes,No,71,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),72.23,5124.93,No
0166-3890,Male,0,No,No,46,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,78.12,3583.76,No
0167-2502,Male,0,Yes,No,66,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,92.46,6073.79,No
0168-4008,Female,0,No,Yes,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),91.93,3604.98,No
0169-1204,Male,0,No,No,59,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,67.63,4064.99,No
0170-1955,Female,0,Yes,No,68,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),58.57,4059.63,No
0171-1810,Female,0,Yes,Yes,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),45.77,501.87,No
0172-7943,Female,0,Yes,No,48,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),71.98,3451.0,No
0173-7500,Male,0,No,No,18,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,66.57,1114.31,No
0174-7270,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.83,559.87,Yes
0175-5156,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.49,449.91,No
0176-7452,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),76.36,661.21,Yes
