gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,31.44,2083.24,0
Female,1,Yes,Yes,30,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,62.81,1914.62,0
Male,0,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,75.85,5359.34,0
Male,0,No,No,65,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,63.24,4179.69,0
Female,0,No,No,62,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,94.9,5937.73,0
Male,0,No,Yes,70,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),61.2,4288.33,0
Male,1,No,Yes,17,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),69.63,1246.3,0
Male,0,No,No,71,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),57.49,3988.21,0
Male,0,No,No,67,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,59.09,4157.52,0
Female,0,No,No,58,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),87.26,4874.88,0
Male,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,88.62,1164.98,0
Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.72,524.56,0
Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,108.14,5044.85,0
Male,1,Yes,No,3,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),100.08,279.82,0
Male,1,No,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.33,2109.31,0
Female,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,72.06,2263.98,1
Male,1,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,82.02,53.41,0
Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.07,738.88,0
Female,0,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),29.95,797.47,0
Female,1,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.8,2428.96,0
Male,0,No,No,43,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),49.54,2067.98,0
Female,0,No,Yes,27,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,53.65,1321.34,0
Male,0,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,99.92,4473.13,0
Male,0,No,No,65,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),73.7,4809.61,0
Male,0,No,No,25,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.64,1793.04,0
Female,0,No,Yes,27,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),86.24,2298.56,1
Female,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),92.56,636.47,1
Male,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,95.16,2512.1,0
Male,0,No,No,20,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,67.89,1218.98,0
Female,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),46.79,2509.44,0
Female,0,No,Yes,8,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,88.31,652.42,1
Female,0,Yes,No,43,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,74.16,3266.72,0
Male,0,No,Yes,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,102.34,5709.11,0
Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,78.32,1394.13,1
Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.8,401.9,1
Female,1,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.86,1619.71,0
Female,0,No,Yes,42,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),35.78,1552.97,0
Male,0,No,No,41,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,61.39,2612.26,0
Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.19,1834.1,0
Female,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.29,421.94,1
Female,0,No,No,14,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,79.01,1111.57,1
Male,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,93.32,3130.82,0
Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),78.93,3327.2,0
Female,1,No,No,67,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,65.84,4399.33,0
Male,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.7,1280.04,0
Female,0,Yes,Yes,15,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,61.49,1030.63,0
Female,0,No,No,62,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,67.66,4257.13,0
Male,1,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,76.63,2393.68,0
Male,1,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,79.55,4931.92,0
Female,0,No,No,20,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.55,1463.24,0
Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.9,1439.48,0
Female,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.13,3683.93,0
Male,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.71,1216.36,0
Male,0,Yes,Yes,71,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,51.38,3547.62,0
Male,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,81.97,855.68,0
Male,1,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.49,526.04,0
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),84.03,1073.89,0
Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.96,1847.11,0
Male,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,76.85,4720.53,0
Female,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.18,1809.16,0
Male,0,Yes,Yes,17,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),63.75,1177.05,0
Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,112.59,2115.33,0
Male,0,Yes,No,29,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,67.96,1889.12,0
Male,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.67,1764.43,0
Female,0,No,No,54,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),52.9,2979.54,0
Female,0,No,No,72,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),66.47,4911.99,0
Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),99.5,5639.93,0
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.68,1834.13,0
Male,1,Yes,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,504.69,0
Female,1,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.6,1030.67,0
Female,0,No,No,38,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.12,2611.13,0
Female,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,171.03,0
Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,79.97,5485.6,0
Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.99,631.59,1
Female,0,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,57.96,3621.42,0
Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.48,540.9,0
Male,0,No,No,16,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),103.38,1541.75,1
Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),29.62,1270.28,0
Female,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,104.83,3505.51,0
Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,87.99,2453.22,0
Female,0,No,No,65,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.98,3288.21,0
Female,0,Yes,Yes,51,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.92,4086.65,0
Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.99,1339.1,0
Male,0,Yes,No,57,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),83.24,4687.6,0
Male,0,No,No,58,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,51.59,3024.93,1
Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.46,1050.89,0
Male,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.08,866.38,0
Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,98.34,6497.13,1
Male,1,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,89.89,5451.47,0
Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.58,162.99,0
Female,0,No,Yes,17,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,73.22,1251.86,0
Male,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,86.73,1661.6,0
Female,0,Yes,No,37,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,118.48,4520.11,0
Female,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),79.01,4765.73,1
Female,1,No,No,35,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),62.27,2289.48,0
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,52.94,687.54,0
Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.76,1209.98,0
Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.61,481.79,0
Female,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.96,1620.5,0
Female,0,Yes,No,71,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),72.23,5124.93,0
Male,0,No,No,46,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,78.12,3583.76,0
Male,0,Yes,No,66,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,92.46,6073.79,0
Female,0,No,Yes,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),91.93,3604.98,0
Male,0,No,No,59,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,67.63,4064.99,0
Female,0,Yes,No,68,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),58.57,4059.63,0
Female,0,Yes,Yes,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),45.77,501.87,0
Female,0,Yes,No,48,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),71.98,3451.0,0
Male,0,No,No,18,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,66.57,1114.31,0
Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.83,559.87,1
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.49,449.91,0
Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),76.36,661.21,1
Female,0,Yes,No,13,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,74.95,952.27,1
Male,0,No,Yes,0,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,63.4,0.0,1
Female,0,No,No,70,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),100.54,7033.99,0
Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,72.23,2388.33,0
Male,0,No,No,12,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.65,994.26,0
Male,0,No,No,25,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,58.02,1426.42,0
Female,0,No,No,54,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),64.1,3559.87,0
Male,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.09,4318.73,0
Male,0,No,No,3,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),73.6,130.76,0
Male,1,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.39,426.44,0
Male,0,No,No,39,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,95.07,3727.83,0
Male,0,Yes,No,70,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),54.75,3739.23,0
Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),90.75,426.49,0
Female,0,No,No,62,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,58.53,3624.26,0
Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.85,177.66,0
Female,0,No,No,36,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,76.13,2778.88,0
